pers_num,term_dt,term_rsn,exit_classification,org_nm,job_lvl,tenure_band,location,period
E00001,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00002,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00003,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00004,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00005,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00006,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00007,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00008,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00009,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00010,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
E00011,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00012,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00013,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00014,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Raleigh,previous
E00015,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Remote,previous
E00016,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00017,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00018,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00019,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Austin,previous
E00020,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Raleigh,previous
E00021,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Remote,previous
E00022,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Austin,previous
E00023,2025-10-15,Voluntary resignation,Voluntary,Engineering,L5–L6,0–2 years,Raleigh,previous
E00024,2025-10-15,Voluntary resignation,Voluntary,Engineering,L4,0–2 years,Remote,previous
E00025,2025-10-15,Voluntary resignation,Voluntary,Engineering,L7+,0–2 years,Austin,previous
