requisition_id,job_title,department,location,seniority_level,requisition_template_id,target_hires,candidate_id,source_name,applied_at,reviewed_at,interviewed_at,offer_extended_at,offer_accepted,hire_date,skills,sla_met,reviewed,interviewed,offer_extended,hired,skills_parsed
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0071,LinkedIn,2023-12-11 07:18:25,2023-12-13 04:18:25,2023-12-28 19:18:25,,False,,"['NIST Cybersecurity Framework', 'Incident Management']",True,True,True,False,False,"['NIST Cybersecurity Framework', 'Incident Management']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0072,LinkedIn,2024-11-06 22:54:44,2024-11-07 22:54:44,,,False,,"['AWS', 'Firewalls', 'Cloud Security', 'Risk Analysis']",True,True,False,False,False,"['AWS', 'Firewalls', 'Cloud Security', 'Risk Analysis']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0073,LinkedIn,2025-01-31 00:56:29,2025-01-31 21:56:29,,,False,,['Cloud Security'],True,True,False,True,False,['Cloud Security']
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0074,LinkedIn,2024-04-11 18:25:26,2024-04-11 23:25:26,,,False,,['AWS'],True,True,False,False,False,['AWS']
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0075,LinkedIn,2023-11-18 12:42:07,2023-11-18 18:42:07,,,False,,"['Firewalls', 'IT Support', 'Cloud Security']",True,True,False,False,False,"['Firewalls', 'IT Support', 'Cloud Security']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0076,LinkedIn,2023-10-29 17:10:06,2023-10-31 17:10:06,,,False,,"['Firewalls', 'Risk Assessment']",True,True,False,False,False,"['Firewalls', 'Risk Assessment']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0077,LinkedIn,2024-10-07 08:50:47,2024-10-08 17:50:47,2024-10-14 17:50:47,,False,,"['Firewalls', 'IT Support', 'Incident Management']",True,True,True,False,False,"['Firewalls', 'IT Support', 'Incident Management']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0078,LinkedIn,2023-10-21 18:22:37,2023-10-23 08:22:37,,,False,,"['Firewalls', 'Incident Management', 'Risk Assessment']",True,True,False,False,False,"['Firewalls', 'Incident Management', 'Risk Assessment']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0079,LinkedIn,2024-08-07 06:35:06,,,,False,,"['Cloud Security', 'Incident Management', 'Risk Assessment']",False,False,False,False,False,"['Cloud Security', 'Incident Management', 'Risk Assessment']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0080,LinkedIn,2024-06-27 22:58:41,,,,False,,"['Incident Management', 'Microsoft PowerShell']",False,False,False,False,False,"['Incident Management', 'Microsoft PowerShell']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0081,LinkedIn,2024-06-05 20:14:00,2024-06-08 18:14:00,,,False,,"['AWS', 'Cloud Security', 'Risk Analysis']",False,True,False,False,False,"['AWS', 'Cloud Security', 'Risk Analysis']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0082,LinkedIn,2024-06-28 08:06:02,,,,False,,['Incident Management'],False,False,False,False,False,['Incident Management']
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0083,Dice,2024-06-03 01:29:48,,,,False,,['Incident Management'],False,False,False,False,False,['Incident Management']
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0084,Dice,2025-01-22 21:58:47,2025-01-24 09:58:47,2025-01-26 18:58:47,,False,,"['NIST Cybersecurity Framework', 'Firewalls', 'Risk Assessment']",True,True,True,False,False,"['NIST Cybersecurity Framework', 'Firewalls', 'Risk Assessment']"
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0085,Dice,2023-10-29 03:03:34,,,,False,,['Incident Management'],False,False,False,False,False,['Incident Management']
05952BR,Senior Security Engineer,Security,Remote,Senior,TMPL-SEC-SR-001,1,05952BR_C0086,Dice,2024-06-13 05:32:52,,,,False,,['Firewalls'],False,False,False,False,False,['Firewalls']
